"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"93","S45","STU","F",21,533.07,608.58,696.77,643.87,573.27,600.68,528.8,431.26,428.3,749.17,448.58,445.25,0,0.17,0,0,0,0,0,0,0.17,0.17,0.17,0.17
"94","S46","STU","F",18,575.85,714.25,797.49,939.57,815.85,856.64,604.33,696.93,1050.35,1382.65,937.29,608.45,0,0,0,0,0,0.17,0,0,0,0.33,0.17,0
"95","S47","STU","F",20,1109.55,1133.26,2149.92,3507.15,1721.35,1185.47,1256.09,968.97,1477.42,2102.56,1318.2,1008.8,0,0,0,0,0,0,0,0,0.17,0,0,0.17
"96","S48","STU","F",19,537.35,619.14,742.36,960.98,972.11,591.7,633.08,410.08,772.54,725.03,447.94,651.45,0,0,0.17,0.33,0,0,0.17,0,0,0,0.17,0
"97","S49","STU","F",19,300.83,447.88,381.45,589.96,395.09,544.03,172.9,358.27,447.43,623.45,542.59,383.77,0,0,0,0,0,0,0,0,0,0.17,0.33,0
"98","S50","STU","F",21,773.15,687.29,724.83,924.13,744.82,925.9,666.56,775.48,1441.49,1353.54,1645.15,682.97,0,0.17,0,0,0,0,0,0,0,0,0,0
"99","S51","STU","F",21,492.37,505.32,527.85,662.3,547.78,493.11,413.21,358.89,491.26,592.77,354.26,376.64,0,0,0,0.17,0,0.17,0.17,0,0.17,0.17,0,0
"100","S52","STU","M",21,599.39,560.34,552.94,397.2,360,456.9,266.91,491.6,274.65,697.32,476.6,232.8,0.17,0,0,0.33,0,0,0,0,0,0.17,0.17,0.17
"101","S53","STU","F",21,551.43,495.34,515.21,924.52,663.92,494.79,520.43,472.57,664.03,1275.02,749.71,461.94,0,0,0.33,0,0,0,0,0,0,0.5,0,0.17
"102","S54","STU","M",19,675.54,697.68,722.78,669,962.12,682.94,420.39,436.31,477.55,868.23,629.63,445.72,0,0,0,0,0.17,0,0,0,0,0,0,0
